UNITID,TUITION1,FEE1,TUITION2,FEE2,TUITION3,FEE3,CHG2AY3,CHG3AY3,CHG8AY3,CHG9AY3 
215992,10172,740,10172,740,10172,740,10912,10912,1280,1280
216010,9570,3824,9570,3824,10048,4074,13544,14272,3382,3382
216038,7716,2268,7716,2268,11574,2518,9984,14092,3854,5144
216047,21218,1352,21218,1352,21218,1352,22570,22570,1000,1000
216083,18336,139,18336,139,18336,139,18475,18475,5703,5703
216162,11496,1130,11496,1130,11496,1130,.,.,.,.
216278,50500,640,50500,640,50500,640,51140,51140,2160,3660
216287,54256,200,54256,200,54256,200,54456,54456,.,.
216296,8400,50,8400,50,8400,50,8450,8450,1556,5256
216311,9625,100,9625,100,9625,100,9725,9725,.,.
216339,16080,890,16080,890,28992,890,16970,29882,2462,2474
216348,.,.,.,.,.,.,.,.,.,.
216357,31690,1830,31690,1830,31690,1830,33520,33520,3300,3300
216366,40680,1035,40680,1035,40680,1035,41866,41866,4717,4717
216418,13385,210,13385,210,13385,210,.,.,.,.
216436,17370,422,17370,422,17370,422,17792,17792,5913,5913
216445,17370,388,17370,388,17370,388,17758,17758,5913,5913
216454,17370,430,17370,430,17370,430,17800,17800,5913,5913
216463,.,.,.,.,.,.,.,.,.,.
216524,55210,0,55210,0,55210,0,55210,55210,2322,7692
216542,21320,1286,21320,1286,21320,1286,22606,22606,6690,6690
216551,30975,0,30975,0,30975,0,30975,30975,.,.
216597,56730,730,56730,730,56730,730,57460,57460,2300,3950
216630,7223,1826,7223,1826,7223,1826,.,.,.,.
216667,49612,558,49612,558,49612,558,50169,50169,900,900
216694,25430,1070,25430,1070,25430,1070,26500,26500,1340,1340
216764,7716,2707,7716,2707,19290,2957,10471,22295,2520,4592
216773,7725,1855,7725,1855,7725,1855,10207,10207,7020,3380
216782,15064,0,15064,0,15064,0,15064,15064,4452,2226
216807,37075,600,37075,600,37075,600,37675,37675,1250,3250
216816,.,.,.,.,.,.,.,.,.,.
216825,3990,1876,7980,2044,11970,2044,9732,13722,2080,2080
216852,47770,805,47770,805,47770,805,48575,48575,2430,2430
216931,36888,1864,36888,1864,36888,1864,38752,38752,4193,5633
216940,28180,140,28180,140,28180,140,28320,28320,.,.
217013,25200,890,25200,890,25200,890,26090,26090,2580,2580
217040,9600,200,9600,200,9600,200,9800,9800,.,.
217059,19670,2030,19670,2030,19670,2030,21700,21700,2550,2550
217156,59254,1330,59254,1330,59254,1330,60696,60696,.,.
217165,45966,897,45966,897,45966,897,46863,46863,3500,3500
217235,34376,0,34376,0,34376,0,34736,34736,2058,2058
217305,30000,1827,30000,1827,30000,1827,31827,31827,4701,4701
217402,53440,948,53440,948,53440,948,54388,54388,1610,7120
217420,8835,1425,8835,1425,23310,1425,10260,24735,2400,2200
217475,4414,392,4414,392,12492,392,4806,12884,4240,4240
217484,12922,2082,12922,2082,30496,2082,15004,32578,4496,9328
217493,53820,1070,53820,1070,53820,1070,54890,54890,3500,4500
217518,34402,2424,34402,2424,34402,2424,38274,38274,2864,3014
217536,42220,700,42220,700,42220,700,42920,42920,3400,3600
217606,12150,1343,12150,1343,12150,1343,13493,13493,6000,4500
217615,4536,410,4896,410,6408,472,5306,6880,3400,3400
217624,12540,800,12540,800,12540,800,13340,13340,2000,3200
217633,26820,3160,26820,3160,26820,3160,29980,29980,5190,5420
217688,27800,40,27800,40,27800,40,28100,28100,4900,4900
217712,4800,340,5400,340,10680,340,5740,11020,4870,4870
217721,14600,2600,14600,2600,14600,2600,17200,17200,2202,2202
217749,19288,1936,19288,1936,19288,1936,20890,20890,3200,3200
217776,24926,750,24926,750,24926,750,25676,25676,2085,1950
217819,12518,460,12518,460,32848,460,12978,33308,3954,3954
217837,4248,726,4460,726,7222,726,5186,7948,4262,3572
217864,75,12545,75,12545,75,35801,12620,35876,8275,8275
217873,16476,570,16476,570,16476,570,17046,17046,9000,9500
217882,14118,1440,14118,1440,37110,1440,15558,38550,4284,6042
217891,9920,100,9920,100,9920,100,10020,10020,500,500
217907,30864,660,30864,660,30864,660,31524,31524,1448,1448
217925,23550,1100,23550,1100,23550,1100,24650,24650,4510,4510
