,,1 = public,1 = yes,1 = yes,1 = yes,"If tution varies for out of state students 1 yes 0 = no,",Offer room,Offer board,,,,,,,,,,,1 = Secondary GPA required to be reported,1 = requiredCompletion of college-preparatory program when apply,Num_applicants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UNITID,TYPE,religious_affiliation,for_profit,StudyAbroad,TUITVARY,ROOM,BOARD,TUITION1,FEE1,TUITION2,FEE2,TUITION3,FEE3,CHG2AY3,CHG3AY3,CHG8AY3,CHG9AY3 ,ADMCON1,ADMCON4,APPLCN,GRCOHRT,UGENTERN,RRFTCT,RET_PCF,STUFACR ,SCUGFFN,SCUGFFP,UAGRNTP,UAGRNTT,UPGRNTP,UPGRNTT,UFLOANP,UFLOANT,STABBR,HLOFFER,SA09MOT,CREDITS1,CREDITS3,SLO8,STUSRV2,STUSRV3,LIBRES1,TUITPL1,TUITPL3,ATHASSOC, F1A06 ,F1A13,F1C051,F1C061,F1E01,F1E03,F1E04,F1E08,F1N07   
905,194392,0,0,0,1,0,1,1,30160,34,30160,34,30160,34,30194,30194,2500,2500,1,0,1283,176,215,138,73,12,185,26,98,14263611,45,1495741,79,3523115,NY,7,1903682,1,1,0,1,1,1,0,1,1,"77,680,330.00",16823118,1181393,3906006,1511494,11071397,26745473,755000,0
906,194499,0,0,1,0,0,2,3,12000,1450,12000,1450,12000,1450,13450,13450,3300,3300,0,0,1533,253,402,0,,28,265,29,96,7654511,85,4374874,80,6792295,NY,5,1265615,0,0,0,1,1,1,0,1,2,"7,873,000.00",50000,556000,3821000,4375000,0,17704000,1763000,0
907,194569,0,1,0,0,0,1,3,15750,1400,15750,1400,15750,1400,17150,17150,1800,4280,1,0,7,1,40,0,,6,16,18,53,397874,40,160862,26,126005,NY,5,50000,1,1,0,1,1,1,0,1,2,"3,064,279.00",477046,291457,71771,165012,55511,1810205,25893,0
908,194578,0,0,0,1,0,1,2,51754,2060,51754,2060,51754,2060,53814,53814,3000,3000,1,0,7601,725,873,806,75,9,843,23,75,60699614,17,2948048,36,8801306,NY,7,16789314,1,1,1,1,1,1,0,1,1,"710,606,804.00",272782899,30463364,22128570,2925013,65254119,212491153,371263,0
909,194657,0,0,0,0,0,1,1,12450,0,12450,0,12450,0,12450,12450,3800,5600,0,1,49,48,54,36,83,22,36,23,99,1808269,18,168907,0,0,NY,7,0,0,0,0,1,0,1,0,1,2,"2,025,484.00",713706,0,164850,168907,2476143,5123814,112390,0
910,194693,0,0,0,0,0,1,1,13900,350,13900,350,13900,350,14250,14250,3800,5600,0,1,18,18,18,17,65,10,17,41,93,331466,34,69230,0,0,NY,5,0,0,0,0,1,0,1,0,1,2,"4,112,564.00",1588309,215356,267091,69230,468442,2045598,41630,0
911,194718,0,0,0,0,0,2,3,8300,0,8300,0,8300,0,8300,8300,3800,5600,0,1,20,20,20,0,,7,1,5,68,30323,53,27650,0,0,NJ,5,0,0,0,0,1,0,1,0,1,2,"7,491,318.00",3318570,23669,319481,63973,462023,2061943,0,0
912,194736,0,0,0,0,0,1,1,8750,350,8750,350,8750,350,9100,9100,.,.,0,0,50,40,41,38,95,20,38,24,92,1034821,36,277502,0,0,NY,5,0,0,0,0,1,0,1,0,1,2,"8,379,994.00",5437409,0,722215,407639,1745175,6565642,54836,0
913,194763,0,1,0,1,0,1,1,9900,0,9900,0,9900,0,9900,9900,5000,5000,0,0,116,105,105,97,21,35,97,36,88,2064763,15,177903,0,0,NY,9,0,0,0,0,1,0,1,0,1,2,"20,580,062.00",7092972,0,456023,223638,2738055,7608663,0,0
914,194824,0,0,0,1,0,1,1,55600,1412,55600,1412,55600,1412,57012,57012,.,.,1,1,16661,1464,1543,1665,91,17,1665,27,87,176122605,17,5154282,47,17889693,NY,9,47798079,1,1,0,1,1,1,0,1,1,"1,598,361,000.00",1076476000,23459000,28252000,5677000,168367000,462280000,0,0
915,194958,0,1,0,1,0,1,1,32322,1178,32322,1178,32322,1178,33500,33500,3974,5324,1,0,1538,233,369,220,83,13,220,17,88,21273636,34,1960974,65,6371908,NY,9,2321655,1,1,1,1,1,1,0,1,1,"127,150,162.00",30619045,2794402,7488003,2333917,17436816,39642866,1275530,0
916,195003,0,0,0,1,0,1,2,47352,676,47352,676,47352,676,51240,51240,946,1252,1,1,21928,3102,4106,2556,86,13,2682,20,86,229832759,28,18255482,58,47816573,NY,9,94844546,1,1,1,1,1,1,0,1,1,"2,166,215,000.00",646277000,63793000,57586000,18254000,233063000,597831000,415000,0
917,195030,0,0,0,1,0,1,2,57188,1053,57188,1053,57188,1053,58241,58241,.,.,0,1,19607,1363,1596,1500,92,10,1500,22,75,193762645,16,5595057,48,13044208,NY,9,80876394,0,1,1,1,1,1,0,1,1,"7,149,025,000.00",3307125000,74297000,75111000,5657514,260891859,4691188000,406629,0
918,195128,0,0,0,1,0,1,2,31450,1500,31450,1500,31450,1500,32950,32950,4960,8600,1,1,1740,260,406,234,77,11,234,18,95,30191185,41,2509404,89,8278166,NY,9,5818312,1,1,1,1,1,1,0,1,1,"93,571,791.00",25991976,3689811,7505917,2578538,21924903,43407341,377900,0
919,195164,0,1,0,1,0,1,1,35450,1065,35450,1065,35450,1065,36515,36515,1700,1700,1,0,3014,486,544,492,86,12,492,27,96,36279555,28,2313681,81,13319454,NY,8,0,1,1,1,1,1,1,0,1,1,"195,397,858.00",31425825,10408322,17982153,2313681,38682970,62205637,1900169,0
920,195173,0,0,0,1,0,1,2,26688,110,26688,110,26688,110,26798,26798,7200,4200,1,0,5492,747,872,613,73,15,613,24,97,42787714,45,5510540,40,9315345,NY,7,7711572,1,1,1,1,1,1,0,1,1,"145,926,361.00",83195951,6540820,14671143,5631708,34397061,58858017,0,0
921,195191,0,1,0,0,0,1,2,20700,1456,20700,1456,20700,1456,22156,22156,1900,1900,1,0,11,3,208,5,100,13,6,2,67,2201312,31,449535,89,1993116,NY,3,0,1,1,0,1,1,1,0,1,2,"3,183,647.00",579417,1779185,237138,449535,245441,5329478,184161,0
922,195216,0,0,0,1,0,1,2,58330,420,58330,420,58330,420,58750,58750,900,2000,1,1,5952,571,620,605,88,10,605,25,97,87738393,21,2476536,58,8775923,NY,7,16350890,1,1,1,1,1,1,0,1,1,"583,488,400.00",141392728,13255489,22020922,2501143,75450212,126675249,1356628,0
923,195234,0,0,0,1,0,1,2,33152,1202,33152,1202,33152,1202,34354,34354,2460,2460,1,1,6373,491,628,640,73,14,640,26,98,61958115,44,5147857,71,11727678,NY,8,11578319,1,1,1,1,1,1,0,1,1,"160,673,858.00",65707134,4069403,13169633,5201816,44672424,76476770,0,0
924,195243,0,0,0,1,0,1,1,33400,800,33400,800,33400,800,34200,34200,2900,2900,1,0,1793,228,811,243,75,17,243,14,69,24971321,23,1870286,36,7492411,NY,8,4052320,1,1,1,1,1,1,0,1,1,"110,378,349.00",6536057,2757279,6497231,1917430,21091560,33383420,854734,0
925,195289,0,0,0,0,0,2,3,11456,2836,11456,2836,11456,2836,14292,14292,6090,6090,0,0,1,2,41,3,33,6,3,2,86,382861,42,181167,74,757509,NY,3,0,0,1,0,1,1,1,0,1,2,"202,563.00",0,411677,31963,223657,32725,2499148,32758,0
926,195304,0,0,0,1,0,1,1,56020,1500,56020,1500,56020,1500,57520,57520,800,800,1,0,3674,385,431,398,70,10,398,28,80,35810221,14,847272,37,3452810,NY,7,8193799,0,1,1,1,1,1,0,1,1,"243,768,343.00",93239170,5678193,12403393,843171,35953511,81285359,30183,0
927,195438,0,1,0,0,0,1,1,10000,560,10000,560,10000,560,10560,10560,3800,5600,0,0,1,1,86,1,100,8,1,1,80,1097921,4,38493,0,0,NY,7,0,0,0,0,1,0,1,0,1,2,"16,034,548.00",6532430,61970,731837,41465,1186656,5103749,10194,0
928,195474,0,1,0,1,0,1,2,39200,300,39200,300,39200,300,40175,40175,2642,2642,0,0,8326,897,1014,841,90,13,841,26,92,72803623,25,3673010,65,13235718,NY,7,0,1,1,1,1,1,1,0,1,1,"311,119,313.00",65044803,9724121,18669293,3777242,62368734,99346328,2565984,0
929,195526,0,0,0,1,0,1,1,57066,1062,57066,1062,57066,1062,58278,58278,.,6492,0,1,10433,718,740,733,88,8,733,28,52,63863215,16,2155075,30,4643332,NY,7,24364040,1,1,1,1,1,1,0,1,1,"826,456,000.00",173270000,17966000,19151000,2166000,55646000,159381000,736000,0
930,195544,0,0,0,1,0,2,3,28590,610,28590,610,28590,610,29200,29200,5500,3650,1,1,4654,651,1131,641,84,12,641,16,89,52040275,34,6211704,58,16701344,NY,8,13253349,1,1,1,1,1,1,0,1,1,"130,876,000.00",32660000,6904000,16868000,6515000,39209000,89182000,3649000,0
931,195702,0,1,0,0,1,2,3,17550,1020,17550,1020,21980,1020,18570,23000,2550,7550,1,0,3,,,0,,7,0,0,69,495422,50,340209,76,996488,NY,3,0,1,1,0,1,1,1,0,1,2,"5,261,256.00",381590,1182081,74615,383203,510018,5135928,109915,0
932,195720,0,1,0,1,0,1,2,34340,810,34340,810,34340,810,35150,35150,1500,3000,1,0,4409,624,770,601,90,12,601,23,98,45749738,27,3197741,70,12081844,NY,9,13479540,1,1,1,1,1,1,0,1,1,"302,679,499.00",66043069,11428188,14835761,3265992,38997767,99007720,2764463,0
933,195809,0,1,0,1,0,1,1,42530,1600,42530,1600,42530,1600,44760,44760,2213,5819,1,0,27917,2074,6779,3078,83,16,3115,18,66,294658222,24,20487003,33,36681536,NY,9,0,1,1,1,1,1,1,0,1,1,"1,490,909,000.00",555059000,58130000,49815000,21428000,283312000,468043000,0,0
934,196006,1,0,0,1,1,1,1,7070,1656,7070,1656,14010,1656,8726,15666,5215,5215,1,0,5982,1007,1272,296,78,17,1172,31,85,27913047,49,8579430,66,15647962,NY,5,0,1,1,0,1,1,1,0,1,1,"222,823,430.00",179255612,3288445,7754423,8797829,7767760,0,12984107,110069551
935,196015,1,0,0,1,1,1,1,7070,1619,7070,1619,13223,1619,8689,12619,3910,3910,1,0,2961,532,938,306,70,19,705,22,80,21954660,54,8060649,70,15185237,NY,5,0,1,1,0,1,1,1,1,1,1,"163,112,160.00",143234566,2226370,13660889,8245175,5863369,0,11209338,84750204
936,196024,1,0,0,1,1,1,2,7070,1570,7070,1570,10840,1570,8640,12410,2540,3010,1,1,4530,582,942,134,76,16,783,26,78,20176598,48,6941337,57,11097954,NY,7,0,1,1,0,1,1,1,0,1,1,"139,823,458.00",117979018,4294971,5763866,6905624,5971441,0,9382685,86959970
937,196033,1,0,0,1,1,1,2,7070,1521,7070,1521,16980,1521,8591,18501,2868,2686,1,0,2640,499,729,196,76,16,609,27,82,16820623,47,5162912,60,8228714,NY,5,0,1,1,0,1,1,1,0,1,1,"170,901,168.00",165748349,11753036,8536505,5039882,4816233,0,7962052,84140917
938,196042,1,0,0,1,1,1,2,7070,1325,7070,1325,16980,1325,8395,18305,3150,3150,1,0,7156,1522,2807,781,83,19,1455,15,50,40997573,33,15915364,39,15928814,NY,7,0,1,1,0,1,1,1,0,1,1,"317,618,835.00",261922032,17041698,18717715,14669413,11369167,0,23183553,184949735
939,196051,1,0,0,0,1,1,1,7070,1670,7070,1670,16980,1670,8740,18650,2930,2210,1,0,4528,659,834,106,73,14,773,28,77,18514363,56,7020989,69,12100298,NY,5,0,1,1,0,1,1,1,0,1,1,"142,969,696.00",139129617,10272263,6111391,6859409,5125252,0,7918836,105705983
940,196060,1,0,0,1,1,1,2,7070,3090,7070,3090,24660,3090,10160,27750,2050,2050,1,1,26127,2686,4025,2665,83,19,2665,20,71,88379272,41,27766177,56,48081027,NY,9,0,1,1,1,1,1,1,0,1,1,"1,038,934,505.00",812195750,53467382,30733240,27571550,24742896,0,62943966,641923275
941,196079,1,0,0,1,1,1,2,7070,2944,7070,2944,24660,2944,10014,27604,1000,2195,1,0,38116,2856,3884,2893,92,19,2893,20,57,77028400,27,19382308,43,39479898,NY,9,0,1,1,1,1,1,1,0,1,1,"1,473,266,064.00",976018819,63971845,32769055,19605853,27002417,0,51389629,602638274
942,196088,1,0,0,1,1,1,1,7070,3456,7070,3456,24740,3456,10526,28196,2804,2804,1,0,30247,4388,6147,4272,87,14,4272,19,60,116595540,33,36275017,44,59736852,NY,9,0,1,1,1,1,1,1,0,1,1,"1,975,191,554.00",1300582590,148180162,49539979,37105697,38425491,0,103350600,1322731202
943,196097,1,0,0,1,1,1,2,7070,3021,7070,3021,24740,3021,10091,27761,5336,5336,1,1,37083,3306,4947,3369,90,19,3369,19,64,114079530,35,31375251,36,38502262,NY,9,0,1,1,1,1,1,1,0,1,1,"4,085,397,311.00",3176255287,113262614,74901229,34697054,28009399,0,94783550,3111750699
944,196103,1,0,0,1,1,1,2,7070,2060,7070,2060,16980,2060,9130,19040,1050,2450,1,1,1951,283,508,352,86,14,353,19,80,10307916,27,2141995,46,5142318,NY,9,0,1,1,0,1,1,1,0,1,1,"131,869,525.00",137525660,9376701,5822933,2132251,2525973,0,7489053,106051837
945,196112,1,0,0,1,1,1,2,7070,1327,7070,1327,16980,1327,8427,18337,2500,2500,1,1,3053,347,674,404,82,13,404,18,75,14037812,41,4092149,48,6734402,NY,9,0,1,1,0,1,1,1,0,1,1,"794,019,796.00",631072341,7317562,5726073,4100271,3875927,0,6876083,365933716
946,196121,1,0,0,1,1,1,2,7070,1554,7070,1554,16980,1554,8624,18534,2868,4088,1,0,9203,1069,1815,1077,76,16,1077,16,75,37196995,41,12239497,65,28286563,NY,9,0,1,1,1,1,1,1,0,1,1,"402,365,693.00",356084715,13845624,14374270,12481681,14350491,0,22094245,210331574
947,196130,1,0,0,1,1,1,2,7070,1358,7070,1358,16980,1358,8428,18338,3240,3240,1,1,13313,1615,2237,1648,65,14,1648,22,78,53143521,55,20169792,58,28323803,NY,8,0,1,1,1,1,1,1,0,1,1,"489,992,252.00",437593512,22686528,14203579,20490794,14127148,0,29988041,246770577
948,196149,1,0,0,1,1,1,2,7070,1607,7070,1607,16980,1607,8677,18587,2860,3260,0,0,12392,1283,1803,1207,85,16,1207,19,66,35432269,31,9021150,66,26947934,NY,8,0,1,1,1,1,1,1,0,1,1,"408,857,844.00",346675960,24140679,12386745,9325991,10074395,0,16300007,198684674
949,196158,1,0,0,1,1,1,1,7070,1422,7070,1422,16980,1422,8492,18402,2000,2997,1,1,5754,755,988,999,77,14,999,24,84,30852930,43,8550324,71,18999446,NY,8,0,1,1,1,1,1,1,0,1,1,"309,646,207.00",263300499,8866108,11031660,8645119,9640355,0,16345493,146162615
950,196167,1,0,0,1,1,1,2,7070,1786,7070,1786,16980,1786,8856,18766,2500,2500,1,0,10250,885,1074,1226,85,17,1226,23,66,25808578,26,6421008,51,16483620,NY,7,0,1,1,1,1,1,1,0,1,1,"294,329,455.00",246767207,5515402,10742866,6118996,10434955,0,14840277,157327752
951,196176,1,0,0,1,1,1,1,7070,1289,7070,1289,16980,1289,8416,18326,2510,3210,1,1,8843,963,1733,1124,87,15,1124,17,65,39597783,36,12292013,50,22424128,NY,8,0,1,1,1,1,1,1,0,1,1,"454,767,445.00",395890056,13765003,19885830,12253529,12968551,0,21769205,206897185
952,196185,1,0,0,1,1,1,1,7070,1670,7070,1670,16980,1670,8740,18650,2402,2402,1,1,12004,1472,1878,1451,83,16,1451,24,65,36300332,34,9858031,59,22106038,NY,8,0,1,1,1,1,1,1,0,1,1,"350,023,622.00",303280803,14402951,11443729,9852217,11774458,0,19863436,175595520
953,196194,1,0,0,1,1,1,1,7070,1581,7070,1581,16980,1581,8651,18561,1600,1700,1,1,12277,1261,1897,1415,81,16,1415,20,83,52735255,43,14742165,62,29314706,NY,8,0,1,1,1,1,1,1,0,1,1,"451,273,564.00",398713205,22389021,20050981,14314907,13946650,0,26517743,228988361
954,196200,1,0,0,1,1,1,1,7070,1484,7070,1484,16980,1484,8554,18464,2070,2350,1,0,4450,529,711,620,80,11,620,20,91,27332599,50,7461981,71,13728153,NY,8,0,1,1,1,1,1,1,0,1,1,"226,202,679.00",249433022,8942869,9540778,7597558,7080897,0,13853538,127738930
955,196219,1,0,0,1,1,1,2,7070,1883,7070,1883,16980,1883,8953,18863,3920,3920,1,0,4594,639,930,789,79,12,789,19,67,25624072,37,7276307,51,13650417,NY,8,0,1,1,0,1,1,1,0,1,1,"432,314,995.00",359872903,23888283,10187063,7204414,7781051,0,13678123,174951802
956,196237,1,0,0,1,1,1,1,7070,1052,7070,1052,16980,1052,8122,18032,4300,3000,1,0,5780,532,1233,604,75,17,605,13,67,27837660,50,12120557,34,9820832,NY,8,0,1,1,1,1,1,1,0,1,1,"222,416,294.00",216576846,5727063,10331113,11234924,7800338,0,15356336,114405768
957,196246,1,0,0,1,1,1,1,7070,1504,7070,1504,16980,1504,8574,18484,2750,4688,1,1,9009,891,1290,960,79,15,961,20,83,36318463,40,9087368,59,19082519,NY,8,0,1,1,1,1,1,1,0,1,1,"345,691,523.00",317289635,10120990,15163394,9053274,8786034,0,17305359,160287688
958,196291,1,0,0,1,1,1,2,7070,1452,7070,1452,16980,1452,8522,18432,3600,3600,1,0,1455,341,436,344,78,16,344,23,55,6740889,23,1847651,46,4518983,NY,7,0,0,1,0,1,1,1,0,1,1,"142,487,668.00",154048341,14687526,7329880,1817179,1627726,0,3730425,76478386
959,197027,,,,1,0,1,1,0,1095,0,1095,0,1095,1095,1095,.,.,0,0,1763,261,274,251,91,13,255,25,12,509316,8,403749,6,269582,NY,7,0,0,1,0,1,1,1,0,0,1,,,6509011,18355848,405711,0,0,0,
960,196413,0,0,0,1,0,1,1,53432,1656,53432,1656,53432,1656,55926,55926,1806,1806,0,0,32005,3486,3877,3641,89,15,3641,24,78,325786979,16,11896583,39,38922692,NY,9,120549990,1,1,1,1,1,1,0,1,1,"3,521,323,945.00",1153832498,132869470,158215423,12481208,351683924,1052261995,1244697,0
961,196431,0,0,0,0,0,1,1,10300,0,10300,0,10300,0,10300,10300,3800,5600,0,1,56,42,227,50,82,14,50,14,92,2568613,60,1232914,0,0,NY,5,0,0,0,0,1,0,1,0,1,2,"2,903,193.00",290114,9335,642937,1263889,894235,4712031,154932,0
962,196583,0,0,0,0,0,2,1,11050,0,11050,0,11050,0,11050,11050,3800,5600,0,1,7,3,25,7,71,9,7,28,96,172069,64,77996,0,0,NY,5,0,0,0,0,1,0,1,0,1,2,"4,937,823.00",889421,9239,149692,116995,182263,1180489,1955,0
963,196592,0,0,0,1,0,1,2,18283,625,18283,625,18283,625,20750,20750,5038,5038,0,0,1778,526,1771,340,90,11,577,10,80,61407179,38,10540708,27,12122313,NY,9,0,1,1,1,1,1,1,0,1,2,"968,535,000.00",551847000,60698000,33129000,12267424,32644000,535829001,7942000,0
964,196653,0,1,0,0,0,2,3,17980,360,17980,360,17980,360,18340,18340,2200,2200,1,0,476,88,416,1,100,11,70,5,86,6048667,47,2198278,73,7217607,NY,5,1829861,1,1,0,1,1,1,0,1,2,"41,880,127.00",4702034,1031203,2576409,2624851,2164528,18351713,1237344,21378
965,196866,0,0,0,1,0,1,1,58956,546,58956,546,58956,546,59502,59502,405,4512,1,0,7622,466,491,550,88,9,550,25,82,55855605,14,1409162,46,6119149,NY,5,21863624,0,1,1,1,1,1,0,1,1,"894,925,888.00",200333361,13013584,19557516,1422504,51594012,130502278,423222,0
966,197045,0,0,0,1,0,1,2,21560,550,21560,550,21560,550,22110,22110,2951,2951,1,0,3119,503,1009,515,78,12,515,15,69,24735678,33,5177030,72,26628361,NY,9,0,1,1,1,1,1,1,0,1,1,"150,954,614.00",84664416,6417773,17313289,5366251,14962491,84820936,4118608,0
967,197133,0,0,0,1,0,1,2,60030,980,60030,980,60030,980,60930,60930,1350,1350,0,1,8663,585,613,689,93,8,689,28,62,75948993,23,2693457,42,5005042,NY,7,29680081,0,1,1,1,1,1,0,1,1,"1,663,039,023.00",384293642,28368212,23685470,2682130,58195950,196941351,628306,0
968,197142,0,1,0,0,0,2,3,24000,1400,24000,1400,24000,1400,25400,25400,3350,3350,1,0,414,132,192,105,58,9,130,25,97,7095023,69,1675318,78,2859495,NY,5,0,1,1,0,1,0,1,0,1,1,"8,378,379.00",2334479,647363,1716496,1770357,3811539,9343621,1277623,0
969,197151,0,0,1,1,0,1,3,43400,0,43400,0,43400,0,43400,43400,5300,5300,1,0,4314,562,729,962,77,6,962,25,51,29503268,17,3242676,29,7689966,NY,7,0,1,1,1,1,1,1,0,1,2,"255,694,190.00",182217930,12614101,16074942,3451667,29221394,164682435,341250,0
970,197197,0,1,0,1,0,1,1,48010,2000,48010,2000,48010,2000,50010,50010,2447,2447,1,1,2604,374,496,408,75,15,408,23,99,47382945,20,1651042,58,7239260,NY,9,9491540,1,1,1,1,1,1,0,1,1,"208,061,260.00",80871033,3970102,18692481,1682282,40545536,68410211,1094794,0
971,197221,0,0,0,1,0,1,1,52420,460,52420,460,52420,460,52880,52880,.,.,1,0,157,27,28,26,92,8,26,25,100,5310434,4,21880,20,115500,NY,5,0,0,0,0,1,1,1,0,0,2,"91,466,564.00",6054007,707167,660655,21880,5169825,7222432,6915,0
972,197230,0,0,0,1,0,1,1,30300,1500,30300,1500,30300,1500,31800,31800,800,1800,0,1,1998,121,133,132,52,9,132,32,98,10197181,46,952610,85,2328066,NY,5,1865100,1,1,1,1,1,1,0,1,1,"74,526,050.00",8133825,1348398,3636513,952610,7655426,21689448,553753,0
973,197285,0,0,1,0,0,2,3,21060,1350,21060,1350,21060,1350,22410,22410,4765,4765,0,0,722,190,380,69,72,22,152,17,92,8130842,71,2905269,79,4933932,NY,5,0,1,1,0,1,1,1,0,1,2,"5,661,036.00",1849830,1523054,5060953,4200909,0,15674123,1673303,0
974,197647,0,0,0,0,0,1,1,12100,0,12100,0,12100,0,12100,12100,3800,5600,0,1,55,20,34,22,59,10,22,25,96,905650,45,214355,0,0,NY,9,0,0,0,0,1,0,1,0,1,2,"2,481,147.00",795364,30000,147050,225146,402738,2960927,65250,0
975,197692,0,1,0,1,0,1,1,16750,410,16750,410,16750,410,17160,17160,.,.,0,0,46,28,28,28,89,12,29,39,79,550932,19,73932,0,0,NY,7,0,0,0,0,1,1,0,0,1,2,"10,929,541.00",8569050,99800,294000,73932,0,2677061,0,0
976,197708,0,0,0,1,0,1,2,43575,2900,43575,2900,43575,2900,46475,46475,5400,2363,1,0,1442,549,764,517,90,7,550,19,86,68550757,15,1968004,21,3684730,NY,9,40389555,1,1,1,1,1,1,0,1,1,"1,036,903,000.00",515417000,44058000,24313000,1959000,95143000,250155000,0,0
977,197735,0,0,0,0,0,1,1,8640,0,8640,0,8640,0,8640,8640,3800,5600,0,1,182,156,190,150,97,11,150,27,90,5424524,90,3090617,0,0,NY,5,0,0,0,0,1,0,1,0,1,2,"12,289,857.00",2964309,0,161149,3102057,121843,6574091,1947740,0
978,197744,0,0,0,0,0,1,1,13350,100,13350,100,13350,100,13450,13450,3800,5600,0,1,12,6,31,8,100,26,8,4,96,1394427,46,455164,0,0,NY,5,0,0,0,0,1,0,1,0,1,2,"8,376,704.00",1809241,170778,136622,632952,922865,5815750,45183,0
979,197869,1,0,0,1,1,1,2,4242,3168,4242,3168,19049,3168,7410,22217,3628,3164,1,1,18178,3889,5408,3496,86,16,3496,20,48,67830897,29,24383015,45,48628972,NC,9,76120965,1,1,1,1,1,1,1,0,1,"1,065,348,275.00",761199440,44338021,13671819,25067993,14236060,0,31390087,453477056
980,197911,0,1,0,1,0,1,1,32590,0,32590,0,32590,0,32590,32590,2350,2350,1,0,3890,287,377,319,70,13,319,30,96,22219251,42,2084876,77,5565076,NC,7,2821978,1,1,1,1,1,1,0,1,1,"91,610,927.00",38493634,1392764,7972904,2149942,16729928,28665135,3006405,0
981,197984,0,1,0,1,0,1,1,18500,0,18500,0,18500,0,18500,18500,3900,3900,1,0,2292,393,515,368,70,15,368,24,92,13827808,31,2216259,55,5607842,NC,5,0,1,1,1,1,1,1,1,1,1,"37,740,491.00",19046565,1806565,10127377,2298295,8670364,33350174,1862210,0
982,197993,0,1,0,1,0,1,1,15964,2549,15964,2549,15964,2549,18513,18513,6890,6890,1,0,2021,38,43,79,52,7,52,17,89,3529869,75,1149312,85,2960333,NC,5,780389,1,1,1,1,1,1,0,1,2,"51,386,635.00",35499311,2345212,1431541,1182649,4438156,16055950,652034,0
983,198066,0,1,0,1,0,1,2,28400,1850,28400,1850,28400,1850,30250,30250,2000,2000,1,0,3044,287,341,250,60,11,250,33,98,14636749,43,1555024,71,3526797,NC,5,2453598,1,1,1,1,1,1,0,1,1,"65,903,199.00",16253582,1042229,4743008,1557906,10981074,19879033,1364980,0
984,198109,0,0,0,0,0,2,3,13446,520,13446,520,13446,520,13966,13966,5600,5600,1,0,65,10,210,0,,7,27,6,77,2255221,33,547298,62,1845803,NC,7,0,1,1,0,1,0,1,0,1,2,,,677295,1363398,590280,1318276,,540165,0
985,198136,0,1,0,1,0,1,2,34290,2450,34290,2450,34290,2450,36740,36740,4115,3415,1,0,5025,655,1027,697,76,15,706,18,85,77318529,34,6862676,47,12675675,NC,9,11518205,1,1,1,1,1,1,0,1,1,"612,904,969.00",191336071,13337021,24856111,6299092,81243415,166083477,8139161,0
986,198215,0,0,0,1,0,1,1,31436,0,31436,0,31436,0,31436,31436,3434,3669,1,0,3254,364,482,341,72,12,337,26,93,30040249,37,2335462,64,5202223,NC,7,4659088,1,1,1,1,1,1,0,1,1,"180,310,312.00",31379361,1291103,4366614,2400563,5693836,59922353,3039325,0
987,198303,0,1,0,1,0,1,1,25808,0,25808,0,25808,0,25880,25880,1690,1690,1,0,2549,238,311,400,59,16,378,30,99,25765451,72,4423550,82,8003088,NC,7,2335000,1,1,1,1,1,1,0,1,1,"91,084,339.00",13926008,763930,7316435,4629505,17304866,26092977,3115867,0
988,198385,0,1,0,1,0,1,1,54460,540,54460,540,54460,540,55175,55175,.,.,1,1,5621,520,533,527,93,9,527,29,73,56634579,16,1362336,19,2055945,NC,5,21754634,0,1,0,1,0,1,0,1,1,"1,347,013,579.00",109630337,12799763,32246998,1365973,53316164,137744038,595211,0
989,198419,0,1,0,1,0,1,2,55880,1753,55880,1753,55880,1753,57633,57633,.,.,0,1,39639,1580,1615,1730,97,6,1731,26,58,186056101,14,4664104,18,5785955,NC,9,202847375,0,1,1,1,1,1,0,0,1,"23,174,857,000.00",8809835000,229990000,82067000,4638000,366186000,6858841000,2287000,0
990,198464,1,0,0,1,1,1,2,4452,2787,4452,2787,20729,2787,7239,23516,3710,10785,1,0,20313,4029,6618,4307,83,19,4307,19,59,104907367,33,36114112,49,72223433,NC,9,71206891,1,1,1,1,1,1,1,1,1,"1,679,135,835.00",1447364759,45567386,20070425,37224620,24452588,0,49860716,968520651
991,198507,1,0,0,1,1,1,2,1000,2260,1000,2260,5000,2260,3260,7260,1350,1350,1,0,2578,360,646,381,76,16,381,23,81,11646658,66,5851763,65,6630304,NC,7,5754766,1,1,1,1,1,1,0,1,1,"178,389,120.00",87251629,4525700,7786748,6075936,4352398,0,4068759,66619969
992,198516,0,0,0,1,0,1,2,37414,507,37414,507,37414,507,37921,37921,2600,2250,1,0,15306,1584,1650,1659,90,13,1659,26,62,58512355,9,2620313,27,10601018,NC,9,33106131,1,1,1,1,1,1,0,1,1,"893,737,232.00",247461968,8339570,45943422,2680291,56564846,253503917,2016397,0
993,198543,1,0,0,1,1,1,2,2982,2327,2982,2327,14590,2327,5309,16917,2387,2387,1,0,4611,709,1780,661,66,17,661,12,67,28875676,54,15612568,54,21354872,NC,9,14745484,1,1,1,1,1,1,1,1,1,"226,686,510.00",186881987,11765749,5790881,16639331,7557269,0,13437628,121800555
