UNITID,F1A06,F1A13,F1C051,F1C061,F1E01,F1E03,F1E04,F1E08,F1N07   
159407,26064103,49020042,715621,1513972,5324084,0,0,3370550,24613819
159416,56031735,91242312,4637044,3971940,5105518,0,0,6038552,72837232
159647,496608707,442197638,18740593,7220519,11494626,2646747,0,37528633,194415752
159717,238129115,184036682,9084649,5997310,10204609,2083254,0,16912386,92100117
159939,292080431,321480840,11890306,10273979,13031928,1228754,0,13711292,170783982
159966,155560882,231786702,8141913,5650345,11128130,14022367,0,25570804,98350855
159993,226597843,285399153,8765940,10272078,12893857,1798397,0,16248251,138942772
160010,8633173,19335938,146790,708240,3316295,86287,0,2260484,18603592
160038,124850204,198413005,12256062,10152173,19951064,0,0,24928524,118529445
160481,23111599,24015108,2350594,841936,5940660,0,0,3723848,17898092
160533,4231453,18442195,88314,0,,,,,9328215
160579,60938831,42038194,2389874,2436147,7005691,282140,0,7347436,29628961
160612,325232316,413825598,17098243,13323335,24865686,5691087,0,29526677,178674401
160621,204609909,288907111,20371117,7800781,20899108,952376,0,24102878,147227874
160630,181243243,70151684,1412933,5312585,6029234,445746,0,5198143,39577818
160649,39385343,61862474,3451875,7548156,10333009,0,0,6569047,34239431
160658,665434922,777545621,23727343,16766558,24688683,2519937,0,33509062,378219850
160667,21881269,36281645,1849303,2231205,7852228,69191,0,6140848,20738221
161077,42027545,6762421,1950027,2636992,5407191,1412037,0,725332,878695
161138,29634471,6651512,1139233,3151106,3670028,722304,0,4723536,25554755
161192,30761836,1835681,2607696,2229217,3200545,607125,0,1730502,15217644
161217,54844000,9587000,8155000,6785000,7657000,1362000,0,8076000,50109000
161226,73099000,26031000,3486000,6726000,3711000,1033000,0,8337000,50148000
161235,28211000,12339000,2025000,3644000,1541000,277000,0,2800000,18337000
161244,19480000,6833000,1465000,2029000,1289000,263000,0,2342000,12348000
161253,556087000,118800000,37446000,30376000,11509000,2519000,0,65527000,384644000
161280,282172000,177716000,9672000,1045000,,,,,23291000
161299,112898542,13623216,1798071,5467696,1202816,0,0,976721,39004713
161341,23279000,5549000,2381000,3845000,2029000,389000,0,3860000,21548000
161484,27955387,3282441,793501,2045347,1912339,382625,0,2609618,14707669
161545,80892303,14258708,4968402,5320971,8531545,1613059,0,11619851,41502429
161554,258558000,101618000,22196000,19311000,10071000,2222000,0,27062000,171632000
