UNITID,SCUGFFN,SCUGFFP,UAGRNTP,UAGRNTT,UPGRNTP,UPGRNTT,UFLOANP,UFLOANT
445203,144,35,82,1971043,81,1641881,72,2333195
445212,24,6,63,928337,49,847685,60,1551902
445230,475,32,68,4974437,58,3993933,56,7753524
445249,69,25,72,1088957,63,843724,59,1488139
445258,178,51,76,1314452,73,1089441,62,1490177
445267,2,0,40,8968510,28,3975047,32,7959887
445300,0,0,73,55691,35,32601,42,89161
445364,815,92,67,2251430,65,2119778,77,4374564
445461,88,19,81,1529491,71,1180613,84,1805354
445498,38,93,100,252570,93,209825,0,0
445540,36,32,64,348406,64,346906,73,504464
445638,10,10,40,126056,37,101184,52,219766
445647,49,23,46,286651,39,223681,55,488179
445656,30,12,61,352048,43,267307,62,760448
445692,187,39,96,4331510,61,1252541,88,2170396
445708,428,28,100,33579360,59,4575446,86,9558288
445735,0,0,40,1105973,22,651521,58,4492203
445744,42,9,89,2107380,79,1630461,73,2479857
445762,14,7,17,245049,17,189009,17,297647
445780,3,6,65,162573,65,162573,54,215830
445799,578,46,76,4803617,46,2141896,64,4584184
445841,51,21,73,778008,66,654733,56,888480
445850,40,19,72,638207,65,526926,49,685499
445911,560,51,87,4417714,66,2751169,79,6268681
445948,1021,49,93,12472320,83,9576460,83,14960372
445957,0,0,70,1021911,46,577534,59,1030820
446048,310,27,95,20112647,24,1294731,50,3541414
446084,6,4,67,1304064,60,372108,45,449944
446093,26,14,60,552549,55,475865,46,696583
446109,88,21,77,1593321,77,1576166,78,3135061
446118,540,58,75,2770037,62,2446851,68,4508658
446127,25,9,94,1026531,86,955251,96,2356294
446136,187,32,71,1518202,60,1229607,58,1875724
446163,64,32,75,726855,75,717515,49,540839
446206,19,46,49,79924,49,79924,56,117728
446224,0,0,0,0,0,0,0,0
446233,52,27,97,1984965,55,561606,61,719957
446242,29,19,82,630199,82,614699,81,1018605
446251,47,80,59,104356,59,104356,54,201502
446260,186,21,40,1846357,40,1699916,50,3150818
446288,17,19,76,285019,58,254341,63,337973
446303,4,5,95,498244,90,425020,87,468050
446349,1,4,62,94596,62,94596,65,125941
446385,58,20,55,864918,31,526332,42,962681
446394,0,0,9,4500,9,4500,0,0
446455,19,58,97,171691,70,98955,55,142423
446516,5,31,100,68145,100,68145,0,0
446525,67,25,48,456903,44,450303,46,726198
446552,1636,64,88,13376784,82,9377269,83,14128554
446561,1194,68,46,4448078,41,3335463,80,14413075
446589,750,82,80,4423780,80,4308580,82,4875000
446598,1,4,56,87633,56,74962,80,190519
446604,448,22,97,25406512,90,14183155,0,0
446640,221,32,96,13784765,54,1923332,68,3079655
446774,281,4,24,6071912,14,3359756,12,3617259
446996,73,76,85,216324,85,202113,88,229258
447014,98,28,76,1109856,74,1001550,81,1466206
447023,517,38,86,6472888,82,5860336,88,8870980
447050,2,2,1,3927,1,2745,1,9500
447148,97,39,54,622144,54,570667,47,978825
447166,31,38,50,150334,49,136337,41,259910
447175,31,31,67,264397,67,246202,53,459856
447263,31,3,57,1306695,53,1266496,81,2414895
447351,223,34,70,1908300,65,1613492,73,2970655
447379,198,50,70,1502867,69,1247167,62,1775844
447403,0,0,53,341098,24,155505,30,506609
447421,10,4,56,690556,45,639772,50,1415780
447449,41,58,99,407050,99,384720,96,490348
447458,91,17,42,2249390,40,1193347,50,2478293
447467,262,60,88,4272547,85,1650362,82,2520540
447582,236,20,61,4752530,51,3144284,18,1041016
447591,973,98,69,3071172,68,2994801,70,4480867
447607,671,44,94,5713109,78,4672591,75,7587792
447616,551,45,94,4464843,74,3652925,77,6676333
447689,2393,19,72,51652637,51,31108384,35,25021282
447704,53,34,21,104743,21,104743,23,229645
447713,5,3,32,255640,32,255640,66,1276500
447722,36,100,97,211575,97,211575,97,268425
447731,233,50,24,471655,24,458448,12,188960
447759,41,16,60,761814,51,609705,60,844159
447768,935,45,78,9242234,70,6333321,65,10430251
447777,17,2,76,4537137,51,2080324,54,3236608
447795,82,79,37,154597,35,135680,6,19917
447810,204,40,63,1647268,58,1315365,55,2427124
447847,73,29,15,169521,15,167781,17,303903
447865,13,32,61,127811,56,87032,59,152439
447874,133,41,43,526088,40,386801,60,909458
447883,78,20,76,1558298,76,1558298,79,2218853
447892,85,40,71,777881,71,665510,60,855428
447908,6,6,58,285484,58,276834,39,167297
447917,25,53,60,107975,60,103975,64,137679
447935,67,25,92,940771,84,869971,90,1862537
447953,70,15,88,2569873,78,1481539,73,2433499
447962,158,44,66,854344,63,800630,67,1369256
447971,91,67,67,331073,64,310523,52,536515
447980,15,17,52,96413,49,85862,51,125571
447999,89,26,87,2085471,66,1335276,75,2261098
448017,50,46,94,555720,80,449747,81,689715
448026,49,23,37,437452,37,434952,41,901820
448044,0,0,0,0,0,0,0,0
448071,37,14,66,788895,64,716872,78,1342277
448123,217,100,97,1149856,97,1109860,13,80284
448196,42,20,50,588803,49,504203,44,845187
448220,26,14,53,486928,48,442488,43,501027
448239,0,0,85,778093,59,610425,78,1219909
448248,336,7,34,1760185,5,612030,0,0
448257,25,39,80,218777,80,218777,84,357628
448275,13,42,81,129279,81,129279,97,241652
448354,39,15,62,665362,60,482622,81,1347189
448372,34,12,72,785682,53,569141,80,1717710
448424,34,25,59,666374,40,219096,52,447278
448433,699,41,81,6395887,56,3835900,62,6930454
448594,415,10,67,14094697,42,8161176,2,725483
448600,40,14,77,1147078,75,1068536,94,2526007
448619,61,9,100,2621026,64,2280224,72,4518890
448646,380,97,77,1244377,75,1226131,80,2109158
448673,95,5,84,9380672,68,6883012,86,14771059
448707,107,63,82,735934,82,685448,0,0
448770,164,40,72,1947883,64,1263600,71,1738873
448798,89,39,79,704381,78,642736,68,1161901
448859,30,23,95,839806,60,377503,73,688069
448895,587,87,78,2059298,73,1966548,72,3116218
449038,3,0,73,6070553,72,5723002,79,14251636
449074,330,30,59,2765756,44,1985753,49,4150330
449083,64,41,100,1020500,97,918000,100,1334500
449092,56,50,100,792960,100,672000,100,952000
449135,21,27,100,426562,99,413166,0,0
449250,903,96,66,3015265,65,2970622,67,4792706
449311,115,48,69,801976,68,764547,68,1118824
449320,395,52,90,3848926,73,2271021,78,4065976
449339,61,0,89,57378525,26,36498894,20,61097565
449348,0,0,71,277489,56,221659,60,529637
449357,31,27,67,465164,67,389376,64,512970
449366,190,45,47,741101,29,480757,55,1167804
449384,16,4,29,723667,16,442527,27,1172865
449393,34,39,71,288372,69,250955,52,107618
449445,54,50,85,478127,85,464822,82,768865
449454,0,0,84,227409,68,156872,86,318930
449463,155,51,90,549371,90,518176,56,801798
449472,43,42,45,164472,45,164472,70,357974
449490,63,29,42,290951,42,261898,24,337658
449506,3,8,100,191543,100,191543,100,420214
449524,12,8,90,953040,82,644774,94,1521892
449533,52,37,87,620443,82,503945,82,712120
449597,1,11,33,7547,33,7547,44,25327
449603,54,24,81,879963,81,879463,90,1054415
