,index,UNITID,TYPE,TUITION1_INDISTRICT_UG,FEE1_INDISTRICT_UG,NUM_APPS_ADMIT,TOTAL_AMOUNT_PELL_TOUG,STATE,TOTAL_SPENT_ACADEMICSUPP,TOTAL_SPENT_STUDENTSS,STATEGRANT,LOCAL_GRANT
735,1123,233921,1,11420,2329,30771,19801601,SOUTH,119293837,29410278,23451863,0
736,29,105330,1,10243,1138,37386,38295244,WEST,44415022,78531430,171181,11586
737,1029,223232,0,44544,4702,33680,11220623,SOUTH,61401000,172186000,340249407,775781000
738,39,106713,0,15600,1500,530,1383014,SOUTH,854134,884829,3953352,9678600
739,504,173160,0,38870,160,1646,2711342,MidWest,10136173,12354525,43936579,100136744
740,157,133650,1,3152,2633,9472,25613253,SOUTH,55224285,10342288,5695110,0
741,658,191649,0,48315,1095,24062,6939467,NORTH,31885058,56865168,166491491,374428772
742,941,216597,0,56730,730,22083,3241511,NORTH,63959503,75716263,138240565,458178879
743,635,188641,0,31396,1200,4252,3441887,NORTH,8647393,12100450,33898494,74466973
744,1201,405058,0,10200,100,60,254019,NORTH,57098,884348,824880,6224809
745,394,161509,0,37580,730,797,691952,NORTH,1142819,1559025,7066033,16101767
746,52,110413,0,45500,482,5568,4742555,WEST,7050302,22817403,64780480,120481813
747,1143,237057,0,50000,408,4964,884220,WEST,12864567,15392214,34744530,91450591
748,359,157289,1,11966,196,17265,9520975,SOUTH,155312000,36477000,28090000,0
749,765,199412,0,35998,1334,3437,2143939,SOUTH,7054305,13893664,29910058,65372698
750,402,162760,0,41680,620,3425,2243818,SOUTH,3976864,9220198,25180000,43129582
751,421,164614,0,11400,1200,18,87804,NORTH,268837,2304,0,1492085
752,448,166656,0,33600,1050,4808,5458490,NORTH,18495856,26333126,49622514,187346969
753,677,193654,0,49820,466,8701,6012762,NORTH,94718000,39523000,144499000,427827000
754,284,151263,0,30888,1380,7893,8255833,MidWest,10327629,27617752,66130495,127209995
755,592,182634,0,42846,800,1888,1117500,NORTH,3505626,6915741,24553936,30868786
756,227,142090,0,12450,650,52,195011,WEST,166910,411252,468000,3114861
757,353,156745,0,39810,990,2712,1686324,SOUTH,3582495,7038607,27291281,31075684
758,9,101480,1,9720,1400,10932,15284630,SOUTH,8930333,22832049,0,0
759,1213,481225,0,6624,1130,4,27753,SOUTH,71949,44262,55000,1328546
760,30,105589,0,31944,1665,317,1033395,WEST,2142618,3976695,4318953,18227209
761,1105,232256,0,45690,2420,1906,732604,SOUTH,4824586,14197357,26928017,52408976
762,691,195216,0,58330,420,5952,2476536,NORTH,13255489,22020922,75450212,126675249
763,982,218742,1,11208,375,4385,13439163,SOUTH,10669817,13506778,12012188,0
764,791,201654,0,32364,200,5008,3139756,MidWest,17601140,9596034,48319308,91843845
765,334,155335,0,31450,1550,597,1660423,MidWest,1193481,5888755,16110575,25596126
766,462,167899,0,39170,550,3441,2280524,NORTH,3411520,14838782,50698245,106532890
767,7,101189,0,21000,1990,1572,5075304,SOUTH,2773551,9018481,12599710,43624987
768,517,174747,0,47332,1112,1845,1865537,MidWest,7415377,9470353,44815297,64421120
769,197,139719,1,4064,1768,5693,9062320,SOUTH,13640213,4756718,0,0
770,296,152390,0,44760,960,2412,1695378,MidWest,7554319,9028206,37705621,62465630
771,392,161341,1,7350,1235,700,1737424,NORTH,2381000,3845000,389000,0
772,969,217961,0,19500,1000,1720,844196,SOUTH,2216202,5244970,4273317,29532609
773,1104,232186,1,9510,3504,21198,36986644,SOUTH,99448885,39939237,31869644,0
774,1158,238193,0,29808,850,758,2772085,MidWest,2931551,6516016,12936129,37717647
775,804,203757,0,23600,944,992,2149818,MidWest,2126561,5526683,9636380,29398403
776,773,199962,0,38796,100,16841,5105735,SOUTH,5939061,18608225,66909770,83898688
777,510,174075,1,10438,1576,1616,2901205,MidWest,3462046,3754537,1961310,0
778,823,206349,0,34290,340,583,1139293,MidWest,1842696,5181403,8234180,23958556
779,122,128391,1,6816,3830,2625,2292853,WEST,4422362,7636645,1406036,0
780,688,195128,0,31450,1500,1740,2509404,NORTH,3689811,7505917,21924903,43407341
781,378,159993,1,5788,3282,4837,12347682,SOUTH,8765940,10272078,1798397,0
782,38,106704,1,6810,2528,5642,16271839,SOUTH,15591552,9203570,15031620,0
783,1085,229814,1,5748,2708,4992,13508127,SOUTH,16484300,11524371,6483813,0
784,1211,455770,0,32546,850,62,296035,WEST,411082,1735099,0,7388656
785,786,201104,0,22000,1060,3552,4643168,MidWest,11757768,18991929,27031615,107898339
786,162,133951,1,4721,1844,16904,112894409,SOUTH,129453759,84083695,67561957,0
787,67,111188,1,5742,1374,988,1225548,WEST,4408710,10849481,1217317,0
788,124,128586,0,9400,250,24,136235,NORTH,37314,322675,411509,2282473
789,551,178208,0,8170,850,233,1660627,MidWest,3922477,1898701,1356430,20040931
790,4,100830,1,7992,868,4606,11282206,SOUTH,4592684,7303651,105571,0
791,1091,230852,0,42564,220,3273,3746076,NORTH,14815789,11087634,38935936,86042654
792,533,176035,1,7425,100,516,6656170,SOUTH,11262555,5315693,1013176,0
793,1059,227845,0,48326,750,5203,6137189,SOUTH,20755347,17597944,78669050,113109087
794,300,152673,0,45000,850,1522,1081990,MidWest,5517185,12331029,25092987,55409095
795,611,185262,1,10445,2000,10138,26730908,NORTH,7135869,36406645,18916157,0
796,747,198899,0,30772,4280,1718,2621792,SOUTH,1043939,2790507,20199990,31575891
797,287,151324,1,9186,280,13477,18548296,MidWest,26950000,15133000,18981000,0
798,748,198950,0,39832,120,1674,2399456,SOUTH,7999147,5099898,28228644,57792051
799,427,165015,0,55340,1890,10223,2997603,NORTH,52000563,35856920,105601627,364444106
800,608,184773,0,32050,1590,1843,3084254,NORTH,7322968,10169296,19829334,46064927
801,932,215947,0,37396,550,2583,2250718,NORTH,3047214,8325023,34632450,52343018
802,830,206622,0,42230,230,14805,2939698,MidWest,12063000,22359000,91373000,199216000
803,842,207500,1,4788,4275,15451,23702783,SOUTH,80439000,29100000,28306000,0
804,506,173647,0,48250,530,4737,2881090,MidWest,4590770,15370013,62743017,84998815
