,UNITID,TYPE,FORPROFIT,BOARD,FEE1_INDISTRICT_UG,ADMS_REQUIRED_COLLEGEPREP,NUM_APPS_ADMIT,TOTAL_AMOUNT_PELL_TOUG,TEACHER_CERT,TUITION_GURANTEE,TOTAL_ASSETS,TOTAL_SPENT_ACADEMICSUPP,TOTAL_SPENT_STUDENTSS,STATEGRANT,LOCAL_GRANT,Highest_Bachelor,STATE_SOUTH,FULLTIME_RETENTIONRATE_SPRING
51,110404,0,0,0,2292,1,8007,482283,0,0,6252584000,49526627,25995377,80206000,3376928449,0,0,94
52,110413,0,1,1,482,1,5568,4742555,1,0,382881187,7050302,22817403,64780480,120481813,0,0,79
53,110422,1,0,0,4329,1,52371,16592674,1,0,1168128061,67029749,79705072,21346775,0,0,0,94
54,110486,1,0,0,1757,1,12235,30404359,1,0,247233145,21430149,24680157,26581609,0,0,0,83
55,110495,1,0,0,1860,1,7136,27884528,1,0,313929729,18039797,23786824,26730544,171312,0,0,87
56,110510,1,0,0,1256,1,14435,54616447,1,0,677938366,29144670,35031902,45301595,0,0,0,85
57,110529,1,0,0,1697,1,38026,63689792,1,0,1022354531,49673121,43389845,52950628,0,0,0,87
58,110538,1,0,1,2122,1,19999,34171019,1,0,538154510,34826832,36446588,30791790,0,0,0,83
59,110556,1,0,0,901,1,15448,61438256,1,0,375756630,40239687,60708559,56770928,0,0,0,87
60,110565,1,0,0,1212,1,45449,80571378,1,0,804184916,46894200,52758717,70274370,0,0,0,89
61,110574,1,0,0,1148,1,13858,29595171,1,0,364840171,54293110,32869025,23566214,0,0,0,78
62,110583,1,0,1,1104,1,67426,81106447,1,0,801907888,61293379,62878474,72061707,0,0,0,89
63,110592,1,0,1,1043,1,31442,78536912,1,0,850346349,49167091,30365144,62794533,0,0,0,83
64,110608,1,0,0,1275,1,27765,99218485,1,0,844801118,65163120,96560776,81934925,0,0,0,83
65,110617,1,0,0,1676,1,25734,70843503,1,0,809322077,48420437,59433247,64996249,0,0,0,84
66,111081,0,0,1,616,0,2254,1202616,0,0,270761544,8301679,5906248,22639267,71916390,0,0,60
67,111188,1,0,0,1374,1,988,1225548,0,0,138667492,4408710,10849481,1217317,0,0,0,77
68,111948,0,1,1,384,1,14252,6600888,1,0,1605493045,52105763,32436346,163922827,374358935,0,0,85
69,112075,0,1,1,750,0,3327,2114036,1,1,175634097,4552165,15461152,26311274,72194206,0,0,68
