UNITID,TYPE,FORPROFIT,StudyAbroad,TUITVARY,ROOM,BOARD,TUITION1_INDISTRICT_UG,FEE1_INDISTRICT_UG,TUITION2_INSTATE_UG,FEE2_INSTATE_UG,TUITION3_OUTSTATE_UG,FEE3_OUTOFSTATE_UG,INSTATE_TUITION_FEES_P,OUTSTATE_TUITION_FEES_P,OFFCAMPUS_SELF_EXP,OFFCAMPUS_FAMILY_EXP,ADMS_REUIRED_GPA,ADMS_REQUIRED_COLLEGEPREP,NUM_APPS_ADMIT,NUM_FULLTIME_FALLCOHRT,FULLTIME_RETENTIONRATE_SPRING,STUD_TO_FAL_RATIO,TOTAL_FIRSTYR_UG,PRCNT_FIRSTYR_UG,PRCNT_UG_AWARDEDAID,TOTAL_AID_UG,PRCNT_UG_AWARDED_PELL,TOTAL_AMOUNT_PELL_TOUG,PRCENT_FLOANS_TOUG,TOTAL_AMOUNT_FLOANS_UG,TOTAL_SALARY_FT_CONTRACT,DUAL_ENROLLMENT,AP_CREDIT,TEACHER_CERT,COUNSELING_SERVICES,EMPLOYMENT_SERVICE,ACADEMIC_LIBRARY,TUITION_GURANTEE,TUITION_PAYMENTPLAN,ATHASSOC,TOTAL_ASSETS,TOTAL_LIABILITIES,TOTAL_SPENT_ACADEMICSUPP,TOTAL_SPENT_STUDENTSS,TOTAL_PELL,STATEGRANT,LOCAL_GRANT,DISCOUNTSAPPLIED_TO_TUTFEES,Highest_Bachelor,STATE_SOUTH
112075,0,1,1,0,1,1,37250,750,37250,750,37250,750,38000,38000,4750,4300,1,0,3327,342,68,20,342,20,84,30505371,27,2114036,60,7451978,90000.0,1,1,1,1,1,1,1,1,1,175634097,55651390,4552165,15461152,2315692,26311274,72194206,2933062,0,0
112084,0,1,1,0,1,1,23022,1188,23022,1188,23022,1188,33312,33312,4642,4162,1,0,614,61,59,9,61,13,93,6507741,46,968575,61,2244571,21689180.115322582,1,1,1,1,1,1,0,1,1,4522812,6172618,996936,4150203,971175,4995937,14209553,444492,0,0
112260,0,0,1,0,1,1,56190,285,56190,285,56190,285,56475,56475,2130,6130,0,1,5306,328,87,8,328,24,47,30918164,18,1162337,21,1303877,22672835.0,0,1,0,1,1,1,0,1,1,2127714000,794755000,8303000,22249000,1169000,27531000,130522000,972000,0,0
113698,0,0,1,0,1,1,47190,720,47190,720,47190,720,47910,47910,4714,4235,1,0,1971,325,87,10,325,22,83,31826219,26,1591496,53,5325728,6286992.0,1,1,1,1,1,1,0,1,1,120936382,33873061,4195307,9744288,1616642,27488640,61990754,2801734,0,0
114813,0,1,1,0,1,1,32954,498,32954,498,32954,498,33452,33452,3784,3225,1,0,959,174,71,13,175,6,84,30946098,65,8245526,70,18386943,3119772.0,0,1,1,1,1,1,0,1,1,81825283,17145187,10950010,10149316,9702522,15998677,65573886,9491142,0,0
115728,0,1,0,0,1,1,40368,536,40368,536,40368,536,40904,40904,4642,4163,1,0,1884,161,66,7,161,24,93,19958782,47,1549324,65,4603543,2400610.0,1,1,1,1,1,1,0,1,1,89669403,51727656,3811629,7958494,1544292,16742573,36422090,2478991,0,0
115755,1,0,1,1,1,1,5742,2122,5742,2122,17622,2122,7858,19738,3300,3300,1,1,10198,815,73,17,815,12,72,43535228,53,16922430,48,20346996,24645564.0,1,1,1,1,1,1,0,1,1,294451611,681138511,20330139,25710818,17877829,13674408,0,29012749,0,0
117104,0,1,1,0,1,1,16584,850,16584,850,16584,850,17434,17434,4742,4263,1,0,116,67,66,12,75,16,90,3839349,54,1176304,66,2219400,21689180.115322582,1,1,0,1,1,1,0,1,1,29969229,1071349,1073857,3338999,1237604,1468402,11758443,906580,0,0
117140,0,0,1,0,1,1,44700,1150,44700,1150,44700,1150,45850,45850,4712,4232,1,1,8212,490,78,15,490,11,86,73139423,47,9313491,63,21900187,21689180.115322582,1,1,1,1,1,1,0,1,1,435518689,157944761,18493785,19889988,10097495,55922700,152853312,12001471,0,0
117627,0,1,1,0,1,1,33228,990,33228,990,33228,990,35208,35208,5524,6705,1,1,5113,315,79,16,315,18,91,26626392,47,4095308,65,7850026,6885809.0,1,1,1,1,1,1,0,1,1,192974775,27810056,8258579,7905506,3938213,2135935,74985961,5268724,0,0
